country,state,county,series_Desc,series_id,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,filename
United States,TX,Crane County,House Price Index,ATNHPIUS48103A,,,,,,,,,,United_States_TX_Crane_County_House_Price_Index
United States,TX,Crockett County,House Price Index,ATNHPIUS48105A,,,,,,,,,,United_States_TX_Crockett_County_House_Price_Index
United States,TX,Crosby County,House Price Index,ATNHPIUS48107A,,,,,,,,,,United_States_TX_Crosby_County_House_Price_Index
United States,TX,Culberson County,House Price Index,ATNHPIUS48109A,,,,,,,,,,United_States_TX_Culberson_County_House_Price_Index
United States,TX,Dallam County,House Price Index,ATNHPIUS48111A,,,,,,,,,,United_States_TX_Dallam_County_House_Price_Index
United States,TX,Dallas County,House Price Index,ATNHPIUS48113A,,,,,,,,,,United_States_TX_Dallas_County_House_Price_Index
United States,TX,Dawson County,House Price Index,ATNHPIUS48115A,,,,,,,,,,United_States_TX_Dawson_County_House_Price_Index
United States,TX,Deaf Smith County,House Price Index,ATNHPIUS48117A,,,,,,,,,,United_States_TX_Deaf_Smith_County_House_Price_Index
United States,TX,Delta County,House Price Index,ATNHPIUS48119A,,,,,,,,,,United_States_TX_Delta_County_House_Price_Index
United States,TX,Denton County,House Price Index,ATNHPIUS48121A,,,,,,,,,,United_States_TX_Denton_County_House_Price_Index
United States,TX,De Witt County,House Price Index,ATNHPIUS48123A,,,,,,,,,,United_States_TX_De_Witt_County_House_Price_Index
United States,TX,Dickens County,House Price Index,ATNHPIUS48125A,,,,,,,,,,United_States_TX_Dickens_County_House_Price_Index
United States,TX,Dimmit County,House Price Index,ATNHPIUS48127A,,,,,,,,,,United_States_TX_Dimmit_County_House_Price_Index
United States,TX,Donley County,House Price Index,ATNHPIUS48129A,,,,,,,,,,United_States_TX_Donley_County_House_Price_Index
United States,TX,Duval County,House Price Index,ATNHPIUS48131A,,,,,,,,,,United_States_TX_Duval_County_House_Price_Index
United States,TX,Eastland County,House Price Index,ATNHPIUS48133A,,,,,,,,,,United_States_TX_Eastland_County_House_Price_Index
United States,TX,Ector County,House Price Index,ATNHPIUS48135A,,,,,,,,,,United_States_TX_Ector_County_House_Price_Index
United States,TX,Edwards County,House Price Index,ATNHPIUS48137A,,,,,,,,,,United_States_TX_Edwards_County_House_Price_Index
