country,state,county,series_Desc,series_id,,,,,,,,,
United States,TX,Frio County,House Price Index,ATNHPIUS48163A,,,,,,,,,
United States,TX,Gaines County,House Price Index,ATNHPIUS48165A,,,,,,,,,
United States,TX,Galveston County,House Price Index,ATNHPIUS48167A,,,,,,,,,
United States,TX,Garza County,House Price Index,ATNHPIUS48169A,,,,,,,,,
United States,TX,Gillespie County,House Price Index,ATNHPIUS48171A,,,,,,,,,
United States,TX,Glasscock County,House Price Index,ATNHPIUS48173A,,,,,,,,,
United States,TX,Goliad County,House Price Index,ATNHPIUS48175A,,,,,,,,,
United States,TX,Gonzales County,House Price Index,ATNHPIUS48177A,,,,,,,,,
United States,TX,Gray County,House Price Index,ATNHPIUS48179A,,,,,,,,,
United States,TX,Grayson County,House Price Index,ATNHPIUS48181A,,,,,,,,,
United States,TX,Gregg County,House Price Index,ATNHPIUS48183A,,,,,,,,,
United States,TX,Grimes County,House Price Index,ATNHPIUS48185A,,,,,,,,,
United States,TX,Guadalupe County,House Price Index,ATNHPIUS48187A,,,,,,,,,
United States,TX,Hale County,House Price Index,ATNHPIUS48189A,,,,,,,,,
United States,TX,Hall County,House Price Index,ATNHPIUS48191A,,,,,,,,,
United States,TX,Hamilton County,House Price Index,ATNHPIUS48193A,,,,,,,,,
United States,TX,Hansford County,House Price Index,ATNHPIUS48195A,,,,,,,,,
United States,TX,Hardeman County,House Price Index,ATNHPIUS48197A,,,,,,,,,
United States,TX,Hardin County,House Price Index,ATNHPIUS48199A,,,,,,,,,
United States,TX,Harris County,House Price Index,ATNHPIUS48201A,,,,,,,,,
United States,TX,Harrison County,House Price Index,ATNHPIUS48203A,,,,,,,,,
United States,TX,Hartley County,House Price Index,ATNHPIUS48205A,,,,,,,,,
United States,TX,Haskell County,House Price Index,ATNHPIUS48207A,,,,,,,,,
United States,TX,Hays County,House Price Index,ATNHPIUS48209A,,,,,,,,,
United States,TX,Hemphill County,House Price Index,ATNHPIUS48211A,,,,,,,,,
United States,TX,Henderson County,House Price Index,ATNHPIUS48213A,,,,,,,,,
United States,TX,Hidalgo County,House Price Index,ATNHPIUS48215A,,,,,,,,,
United States,TX,Hill County,House Price Index,ATNHPIUS48217A,,,,,,,,,
United States,TX,Hockley County,House Price Index,ATNHPIUS48219A,,,,,,,,,
United States,TX,Hood County,House Price Index,ATNHPIUS48221A,,,,,,,,,
United States,TX,Hopkins County,House Price Index,ATNHPIUS48223A,,,,,,,,,
United States,TX,Houston County,House Price Index,ATNHPIUS48225A,,,,,,,,,
United States,TX,Howard County,House Price Index,ATNHPIUS48227A,,,,,,,,,
United States,TX,Hudspeth County,House Price Index,ATNHPIUS48229A,,,,,,,,,
United States,TX,Hunt County,House Price Index,ATNHPIUS48231A,,,,,,,,,
United States,TX,Hutchinson County,House Price Index,ATNHPIUS48233A,,,,,,,,,
United States,TX,Irion County,House Price Index,ATNHPIUS48235A,,,,,,,,,
United States,TX,Jack County,House Price Index,ATNHPIUS48237A,,,,,,,,,
United States,TX,Jackson County,House Price Index,ATNHPIUS48239A,,,,,,,,,
United States,TX,Jasper County,House Price Index,ATNHPIUS48241A,,,,,,,,,
United States,TX,Jeff Davis County,House Price Index,ATNHPIUS48243A,,,,,,,,,
United States,TX,Jefferson County,House Price Index,ATNHPIUS48245A,,,,,,,,,
United States,TX,Jim Hogg County,House Price Index,ATNHPIUS48247A,,,,,,,,,
United States,TX,Jim Wells County,House Price Index,ATNHPIUS48249A,,,,,,,,,
United States,TX,Johnson County,House Price Index,ATNHPIUS48251A,,,,,,,,,
United States,TX,Jones County,House Price Index,ATNHPIUS48253A,,,,,,,,,
United States,TX,Karnes County,House Price Index,ATNHPIUS48255A,,,,,,,,,
United States,TX,Kaufman County,House Price Index,ATNHPIUS48257A,,,,,,,,,
United States,TX,Kendall County,House Price Index,ATNHPIUS48259A,,,,,,,,,
United States,TX,Kenedy County,House Price Index,ATNHPIUS48261A,,,,,,,,,
United States,TX,Kent County,House Price Index,ATNHPIUS48263A,,,,,,,,,
United States,TX,Kerr County,House Price Index,ATNHPIUS48265A,,,,,,,,,
United States,TX,Kimble County,House Price Index,ATNHPIUS48267A,,,,,,,,,
United States,TX,King County,House Price Index,ATNHPIUS48269A,,,,,,,,,
United States,TX,Kinney County,House Price Index,ATNHPIUS48271A,,,,,,,,,
United States,TX,Kleberg County,House Price Index,ATNHPIUS48273A,,,,,,,,,
United States,TX,Knox County,House Price Index,ATNHPIUS48275A,,,,,,,,,
United States,TX,Lamar County,House Price Index,ATNHPIUS48277A,,,,,,,,,
United States,TX,Lamb County,House Price Index,ATNHPIUS48279A,,,,,,,,,
United States,TX,Lampasas County,House Price Index,ATNHPIUS48281A,,,,,,,,,
